dataId,label,accX,accY,accZ,gryoX,gyroY,gyroZ
2,fallforward,-8.461,-1.4309,-0.1627,8.23759,70.91188,-32.95034
2,fallforward,-8.3079,-1.3208,-0.6221,8.03165,67.75414,-38.51071
2,fallforward,-8.083,-1.8138,-0.9476,10.57157,67.13633,-39.26583
2,fallforward,-8.1452,-2.5507,-1.986,7.20789,63.01754,-38.16748
2,fallforward,-9.5426,-3.7137,-1.8425,15.78871,61.7819,-39.12854
2,fallforward,-10.8778,-3.8285,-2.1105,16.54382,58.55551,-44.48297
2,fallforward,-12.0215,-4.0965,-2.5412,12.90555,49.49417,-52.37732
2,fallforward,-12.5384,-5.3073,-2.4263,2.60857,41.8744,-55.67235
2,fallforward,-13.9071,-6.9535,-2.5268,-3.29503,47.36612,-57.8004
2,fallforward,-18.1567,-9.2985,-1.139,-16.61247,76.54091,-69.19572
2,fallforward,-18.7741,-9.4469,-8.528,-66.24393,111.41335,-78.05112
2,fallforward,-23.6889,-16.319,-3.4361,-38.44207,155.55308,-75.03068
2,fallforward,-27.6275,-16.5344,-1.5649,-134.68453,162.55503,-71.39241
2,fallforward,-23.7942,-8.2696,-4.2449,-190.56283,93.97713,-90.47615
2,fallforward,-14.7541,-3.216,-4.9675,-145.46205,21.76096,-103.24441
2,fallforward,-9.4373,-2.0339,-4.8383,-95.69329,-21.62366,-85.87684
2,fallforward,-6.1735,-3.0628,-4.6516,-81.75804,-47.64071,-73.79504
2,fallforward,-2.6656,-5.6901,-3.8094,-73.31452,-35.42162,-52.6519
2,fallforward,-1.0481,-6.1974,-2.0865,-117.66019,-20.59397,-36.24538
2,fallforward,-1.4596,-4.9005,-1.7276,-103.72494,-4.80526,-36.24538
2,fallforward,-2.2588,-4.0726,-1.0911,-93.29066,8.58082,-43.72785
2,fallforward,-2.7805,-2.8953,-1.1629,-95.41871,19.22103,-42.56086
2,fallforward,-3.3117,-2.1488,-1.4596,-98.43915,24.78141,-42.21763
2,fallforward,-3.1346,-1.8855,-1.7037,-120.40605,22.17284,-33.63681
2,fallforward,-2.0148,-1.3926,-3.3882,-104.96057,17.09299,-18.67186
2,fallforward,-2.9719,-0.9236,-4.9531,-110.315,11.80721,-12.8369
2,fallforward,-3.0293,-1.5936,-6.1639,-110.17771,8.58082,2.9518
2,fallforward,-4.6708,-2.7805,-5.7667,-124.52484,17.77946,17.36758
2,fallforward,-4.9149,-2.8044,-6.2309,-134.68453,24.9187,28.48832
2,fallforward,-4.1874,-2.5603,-6.0443,-131.52678,28.76291,33.43087
2,fallforward,-2.1344,-1.6702,-8.9683,-51.55356,40.57011,31.98929
