dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
3,walk,-8.7482,-2.7326,-2.9767,-39.1285,-190.1509,-109.8345
3,walk,-8.3845,-3.9194,-2.8714,-96.7916,-269.7809,-122.1909
3,walk,-10.3035,-3.2542,-2.4168,-181.9134,-282.1373,65.9007
3,walk,-11.7679,-5.4509,-3.7376,-139.3525,-548.486,353.5297
3,walk,-10.1839,-2.4837,-3.3739,-216.9231,-186.7186,347.3515
3,walk,-10.2844,-1.9621,-3.1968,-102.2834,-200.4479,323.3253
3,walk,-9.5904,-2.0961,-3.1394,-28.8316,-239.5765,269.0945
3,walk,-10.0738,-2.1823,-3.3021,90.6134,-168.8705,134.5472
3,walk,-9.4804,-3.0245,-3.1633,151.7089,-72.0789,75.5112
3,walk,-9.0497,-2.0722,-3.5318,130.4285,-58.3496,-56.9766
3,walk,-9.1119,-1.8425,-3.6084,278.0185,-102.2834,-34.3233
3,walk,-8.6668,-3.0293,-4.1013,124.2503,34.3233,-18.5346
3,walk,-9.4804,-1.7515,-3.7615,-56.9766,37.7556,-295.1802
3,walk,-8.5137,-2.3785,-3.4983,-244.3817,-29.518,-146.9036
3,walk,-8.4514,-2.5651,-3.7184,-287.6291,-54.2308,-9.6105
3,walk,-8.5424,-1.8616,-3.6993,-328.817,-29.518,168.1841
3,walk,-8.5376,-1.2491,-3.8524,-362.4538,-26.0857,233.3983
3,walk,-8.5807,-0.7466,-4.0008,-288.3155,-97.4781,43.9338
3,walk,-8.5472,-0.9045,-3.9721,-201.8209,-161.3194,-41.8744
3,walk,-8.9252,-1.0768,-4.1444,-131.8014,-150.336,-39.1285
3,walk,-8.9252,-1.4979,-3.9338,-84.4353,-65.9007,-140.7254
3,walk,-9.0018,-2.0387,-3.6562,-41.8744,-43.9338,-236.1441
3,walk,-9.4181,-1.9621,-3.5653,-118.0721,39.1285,-348.7245
3,walk,-9.3033,-1.6463,-3.35,-179.854,75.5112,-240.9494
3,walk,-8.8439,-1.2108,-3.527,-152.3953,41.1879,-112.5803
3,walk,-8.5424,-1.9047,-3.3595,-166.8111,-19.221,-149.6495
3,walk,-9.7005,-1.785,-3.5988,-55.6037,-60.409,-109.8345
3,walk,-9.0162,-1.2921,-3.1633,-0.6865,-50.7984,20.594
3,walk,-8.5567,-1.8042,-3.6179,13.0428,-37.0691,96.1052
3,walk,-8.6955,-1.4979,-3.4217,50.7984,-26.0857,93.3593
3,walk,-8.8391,-1.6175,-3.3739,57.6631,2.7459,78.2571
3,walk,-9.6,-1.4022,-3.2447,80.3165,-5.4917,95.4187
3,walk,-9.4756,-2.0626,-3.1298,136.6066,-7.5511,18.5346
3,walk,-9.2842,-1.809,-3.2399,184.6592,-10.297,-11.6699
3,walk,-9.3559,-1.541,-3.3021,233.3983,-8.9241,-13.7293
3,walk,-9.1167,-1.4836,-3.1394,273.2133,-23.3398,-26.0857
3,walk,-9.1406,-1.5649,-3.1107,278.705,-43.2473,-7.5511
3,walk,-9.3894,-1.34,-3.3069,293.8072,-48.739,109.148
3,walk,-9.1597,-1.6941,-3.1825,310.2824,-81.6894,169.557
3,walk,-8.9779,-2.211,-3.1298,286.9426,-69.333,38.4421
3,walk,-9.2985,-1.6893,-3.1059,243.0088,-54.2308,97.4781
3,walk,-9.4373,-1.6558,-2.924,262.9163,-88.554,187.4051
3,walk,-9.6861,-1.943,-2.8762,313.7147,-216.9231,113.2668
3,walk,-9.4995,-0.6173,-4.2114,196.3291,165.4382,639.7858
3,walk,-9.1884,-2.9815,-2.7326,17.8481,-223.7878,84.4353
3,walk,-9.0401,-2.0913,-2.4598,30.8909,-179.854,-121.5044
3,walk,-9.8249,-1.2778,-2.278,81.6894,-73.4518,-48.739
3,walk,-9.8441,-1.7133,-2.144,183.2863,-78.9435,-144.8442
3,walk,-8.9635,-2.0339,-1.9621,109.148,-69.333,-81.0029
3,walk,-11.0166,-1.1055,-1.9478,104.3428,-100.224,-111.2074
3,walk,-9.9206,-0.9523,-2.2684,73.4518,-105.0292,-175.0487
3,walk,-10.3035,-1.517,-2.1153,41.8744,-76.8841,-169.557
3,walk,-9.6096,-2.3115,-2.2014,-10.297,-58.3496,-113.2668
3,walk,-8.4179,-2.7948,-2.3067,-17.8481,-21.9669,14.4158
3,walk,-10.1312,-2.2636,-2.3067,59.036,-25.3992,-142.7848
3,walk,-9.3799,-1.8425,-2.9336,55.6037,2.7459,-87.1811
3,walk,-9.4851,-2.2158,-2.8618,70.0195,21.2804,-43.9338
3,walk,-9.0497,-2.4311,-2.7613,48.0526,20.594,-32.2639
3,walk,-8.595,-2.1679,-2.8379,78.2571,44.6203,151.7089
3,walk,-9.3703,-2.0626,-3.0532,61.7819,34.3233,-10.297
4,idle,-8.9204,-1.0481,4.2497,-5.4917,-8.9241,-6.8647
4,idle,-8.9396,-1.0576,4.2592,-6.1782,-10.297,-5.4917
4,idle,-8.9587,-1.0672,4.2353,-4.8053,-8.9241,-6.8647
4,idle,-8.9539,-1.0337,4.2353,-4.8053,-6.8647,-10.297
4,idle,-8.9157,-1.072,4.2497,-8.2376,-8.2376,-15.1022
4,idle,-8.93,-1.0433,4.2209,-8.9241,-5.4917,-14.4158
4,idle,-8.9827,-1.0576,4.2449,-8.9241,-4.8053,-8.9241
4,idle,-8.9874,-1.0481,4.264,-7.5511,-10.9834,-7.5511
4,idle,-8.9444,-1.0433,4.2736,-6.1782,-10.9834,-12.3564
4,idle,-8.9492,-1.1007,4.2114,-12.3564,-10.9834,-13.0428
4,idle,-8.9683,-1.1055,4.2497,0.6865,-16.4752,-8.9241
4,idle,-8.8822,-1.0911,4.1683,2.0594,-1.3729,-12.3564
4,idle,-8.93,-1.0816,4.197,-0.6865,7.5511,-6.8647
4,idle,-9.0018,-1.0911,4.197,-9.6105,1.3729,-4.8053
4,idle,-8.9252,-1.0911,4.1539,-8.9241,-1.3729,-4.1188
4,idle,-8.9779,-1.072,4.1492,-10.297,2.0594,-11.6699
4,idle,-8.9874,-1.0863,4.197,-12.3564,-1.3729,-13.0428
4,idle,-8.9827,-1.1007,4.1539,-12.3564,-8.9241,-16.4752
4,idle,-8.9874,-1.0863,4.1587,-10.9834,-10.297,-16.4752
4,idle,-8.9731,-1.1198,4.1635,-11.6699,-8.2376,-13.7293
4,idle,-8.9635,-1.1294,4.1539,-8.2376,-6.8647,-12.3564
4,idle,-8.9874,-1.1007,4.1396,-6.1782,-6.1782,-10.297
4,idle,-8.9779,-1.1294,4.1444,-4.1188,-4.1188,-10.9834
4,idle,-8.9827,-1.1151,4.1204,-2.0594,-7.5511,-8.9241
4,idle,-9.0257,-1.1151,4.1204,-3.4323,-3.4323,-10.297
4,idle,-9.0018,-1.0959,4.1444,-2.7459,-6.8647,-2.0594
4,idle,-9.0018,-1.1151,4.1492,-0.6865,-10.9834,-2.7459
4,idle,-9.0209,-1.0959,4.1348,2.0594,-10.9834,-8.2376
4,idle,-8.9779,-1.1198,4.1635,6.8647,-11.6699,-10.297
4,idle,-8.9779,-1.1198,4.1348,4.8053,-11.6699,-13.0428
4,idle,-8.9779,-1.1198,4.1348,7.5511,-12.3564,-6.8647
4,idle,-9.0018,-1.1438,4.1348,5.4917,-12.3564,-6.8647
4,idle,-8.9731,-1.1246,4.1013,5.4917,-10.297,-6.8647
4,idle,-8.997,-1.1151,4.1348,6.8647,-10.297,-10.297
4,idle,-8.9827,-1.1246,4.1157,8.9241,-11.6699,-15.1022
4,idle,-8.9922,-1.139,4.1157,6.8647,-10.9834,-15.7887
4,idle,-8.9922,-1.1198,4.1109,6.1782,-13.0428,-11.6699
4,idle,-8.9779,-1.1198,4.0965,4.1188,-13.0428,-7.5511
4,idle,-8.997,-1.1007,4.1252,2.7459,-15.1022,-8.2376
4,idle,-9.0018,-1.1246,4.1348,2.7459,-15.7887,-8.2376
4,idle,-9.0018,-1.1055,4.1061,1.3729,-13.7293,-5.4917
4,idle,-8.9827,-1.1246,4.1061,2.0594,-15.1022,-7.5511
4,idle,-9.0066,-1.0959,4.1157,0,-15.1022,-8.2376
4,idle,-8.9922,-1.1438,4.13,1.3729,-16.4752,-8.2376
4,idle,-9.0162,-1.1294,4.1539,3.4323,-21.2804,-6.1782
4,idle,-9.0114,-1.1246,4.1396,0,-19.221,-6.8647
4,idle,-9.0066,-1.1103,4.0774,-8.2376,-14.4158,-5.4917
4,idle,-9.0018,-1.1677,4.0917,2.7459,-16.4752,-6.1782
4,idle,-8.9396,-1.1342,4.1348,9.6105,-13.7293,-8.9241
4,idle,-9.0114,-1.1007,4.063,4.8053,-1.3729,-8.2376
5,idle,-9.0784,-0.1484,3.9721,-1.3729,-11.6699,-17.1616
